,Lever position (lp) [ ],Ship speed (v) [knots],Gas Turbine shaft torque (GTT) [kN m],Gas Turbine rate of revolutions (GTn) [rpm],Gas Generator rate of revolutions (GGn) [rpm],Starboard Propeller Torque (Ts) [kN],Port Propeller Torque (Tp) [kN],HP Turbine exit temperature (T48) [C],GT Compressor inlet air temperature (T1) [C],GT Compressor outlet air temperature (T2) [C],HP Turbine exit pressure (P48) [bar],GT Compressor inlet air pressure (P1) [bar],GT Compressor outlet air pressure (P2) [bar],Gas Turbine exhaust gas pressure (Pexh) [bar],Turbine Injecton Control (TIC) [%],Fuel flow (mf) [kg/s],GT Compressor decay state coefficient.,GT Turbine decay state coefficient.
2940,9.3,27,72776.035,3560.417,9768.326,645.13,645.13,1073.726,288,778.309,4.502,0.998,22.44,1.05,88.825,1.758,0.972,0.994
2941,3.144,9,8378.526,1386.754,7108.482,60.345,60.345,588.001,288,582.132,1.389,0.998,7.486,1.02,12.374,0.245,0.966,0.988
2942,6.175,18,29783.48,2307.455,8814.875,246.157,246.157,780.805,288,669.678,2.506,0.998,13.283,1.03,34.647,0.686,0.97,0.983
2943,4.161,12,14721.199,1547.46,7764.447,113.772,113.772,632.751,288,604.828,1.66,0.998,8.871,1.023,16.834,0.333,0.978,0.993
2944,8.206,24,50997.095,3087.616,9321.429,438.062,438.062,936.657,288,738.68,3.567,0.998,18.365,1.041,61.067,1.209,0.953,0.988
2945,6.175,18,29761.533,2306.848,8791.175,246.014,246.014,774.351,288,665.777,2.514,0.998,13.357,1.03,34.377,0.681,0.989,0.98
2946,9.3,27,72774.566,3560.402,9751.158,644.786,644.786,1051.513,288,771.488,4.522,0.998,22.478,1.051,87.129,1.725,0.99,0.997
2947,7.148,21,38980.217,2678.084,9138.561,332.099,332.099,820.392,288,691.599,2.957,0.998,15.299,1.035,43.405,0.859,0.963,1
2948,4.161,12,14720.441,1547.454,7744.958,113.761,113.761,642.718,288,606.793,1.662,0.998,8.969,1.022,17.314,0.343,0.977,0.982
2949,9.3,27,72770.943,3560.397,9752.881,644.909,644.909,1065.035,288,774.967,4.521,0.998,22.619,1.051,88.388,1.75,0.983,0.99
2950,2.088,6,3102.68,1376.312,6809.157,28.086,28.086,505.001,288,560.075,1.21,0.998,6.513,1.02,3.355,0.131,0.971,0.986
2951,2.088,6,5364.823,1394.252,6839.426,31.517,31.517,555.607,288,567.202,1.289,0.998,6.876,1.02,0,0.196,0.976,0.998
2952,5.14,15,21629.007,1924.324,8476.893,175.281,175.281,703.85,288,636.001,2.085,0.998,11.105,1.026,24.981,0.494,0.98,0.987
2953,3.144,9,8374.959,1386.733,7045.372,60.304,60.304,570.411,288,574.595,1.392,0.998,7.473,1.021,11.698,0.232,0.999,0.992
2954,5.14,15,21629.075,1924.32,8476.072,175.231,175.231,707.759,288,637.025,2.085,0.998,11.136,1.026,25.195,0.499,0.978,0.984
2955,6.175,18,29765.455,2306.895,8809.615,245.961,245.961,761.15,288,663.635,2.508,0.998,13.159,1.031,33.47,0.663,0.985,0.994
2956,2.088,6,3958.789,1344.947,6804.112,22.445,22.445,550.131,288,565.969,1.232,0.998,6.676,1.019,22.383,0.196,0.961,0.983
2957,6.175,18,29761.329,2306.841,8788.117,245.942,245.942,774.457,288,665.535,2.515,0.998,13.374,1.03,34.4,0.681,0.991,0.979
2958,9.3,27,72776.174,3560.415,9764.46,645.063,645.063,1066.481,288,776.227,4.506,0.998,22.42,1.051,88.23,1.747,0.977,0.996
2959,8.206,24,50997.12,3087.605,9315.611,438.03,438.03,938.741,288,737.693,3.577,0.998,18.513,1.041,61.408,1.216,0.959,0.982
2960,1.138,3,4342.589,1385.352,6637.15,9.542,9.542,565.798,288,562.097,1.251,0.998,6.779,1.019,4.68,0.207,0.991,0.982
2961,3.144,9,8380.189,1386.763,7141.833,60.368,60.368,589.329,288,583.723,1.388,0.998,7.453,1.02,12.409,0.246,0.956,0.992
2962,6.175,18,29762.752,2306.822,8794.235,246.038,246.038,753.716,288,660.138,2.514,0.998,13.188,1.031,33.097,0.655,1,0.994
2963,7.148,21,39004.518,2678.044,9119.825,332.375,332.375,801.609,288,681.637,2.983,0.998,15.48,1.036,42.488,0.841,0.998,0.996
2964,3.144,9,8377.673,1386.749,7089.178,60.332,60.332,589.411,288,581.854,1.39,0.998,7.517,1.02,12.441,0.246,0.97,0.984
2965,3.144,9,8377.801,1386.75,7099.202,60.337,60.337,577.134,288,578.545,1.39,0.998,7.442,1.02,11.942,0.236,0.978,0.995
2966,1.138,3,1133.08,1384.231,6762.426,9.538,9.538,470.25,288,551.872,1.132,0.998,6.01,1.019,0,0.091,0.951,1
2967,3.144,9,8374.691,1386.732,7037.871,60.3,60.3,572.739,288,575.021,1.393,0.998,7.494,1.021,11.797,0.234,0.999,0.989
2968,4.161,12,14717.057,1547.444,7700.759,113.731,113.731,631.212,288,601.828,1.666,0.998,8.972,1.023,16.835,0.333,0.999,0.984
2969,3.144,9,8378.733,1386.755,7102.841,60.348,60.348,602.825,288,586.322,1.389,0.998,7.569,1.02,12.966,0.257,0.955,0.976
2970,9.3,27,72772.093,3560.423,9785.857,644.768,644.768,1104.787,288,787.177,4.485,0.998,22.518,1.049,91.312,1.808,0.951,0.986
2971,3.144,9,8377.882,1386.75,7086.542,60.344,60.344,600.862,288,585.146,1.39,0.998,7.579,1.02,12.898,0.255,0.961,0.975
2972,7.148,21,38998.12,2678.052,9121.207,332.383,332.383,830.596,288,690.321,2.979,0.998,15.685,1.035,44.471,0.881,0.978,0.98
2973,5.14,15,21633.15,1924.323,8488.413,175.304,175.304,714.555,288,640.22,2.081,0.998,11.116,1.026,25.504,0.505,0.965,0.984
2974,7.148,21,38986.986,2678.077,9130.036,332.265,332.265,832.427,288,692.991,2.968,0.998,15.543,1.035,44.41,0.879,0.966,0.986
2975,2.088,6,5865.111,1349.445,6810.916,23.295,23.295,606.462,288,575.067,1.292,0.998,7.036,1.019,22.57,0.263,0.956,0.98
2976,9.3,27,72780.453,3560.427,9777.709,645.059,645.059,1075.101,288,779.453,4.49,0.998,22.275,1.05,88.704,1.756,0.967,0.999
2977,3.144,9,8380.492,1386.765,7146.504,60.369,60.369,590.242,288,584.163,1.387,0.998,7.452,1.02,12.442,0.246,0.954,0.992
2978,9.3,27,72780.155,3560.431,9778.789,645.025,645.025,1076.227,288,779.822,4.489,0.998,22.269,1.05,88.782,1.757,0.966,0.999
2979,6.175,18,29760.86,2306.818,8779.005,246.016,246.016,769.971,288,663.446,2.519,0.998,13.392,1.031,34.178,0.677,1,0.979
2980,6.175,18,29796.181,2307.282,8839.691,246.343,246.343,786.496,288,673.465,2.498,0.998,13.193,1.03,34.861,0.69,0.951,0.987
2981,8.206,24,50995.22,3087.544,9310.824,438.013,438.013,933.352,288,735.129,3.582,0.998,18.54,1.041,61.092,1.209,0.967,0.982
2982,9.3,27,72776.563,3560.434,9785.356,645.098,645.098,1092.819,288,784.35,4.483,0.998,22.362,1.049,90.191,1.785,0.956,0.993
2983,2.088,6,6844.433,1364.572,6771.289,26.006,26.006,600.445,288,569.222,1.327,0.998,7.138,1.02,14.912,0.265,0.993,0.993
2984,6.175,18,29761.857,2306.841,8790.115,245.967,245.967,767.443,288,663.715,2.515,0.998,13.311,1.031,33.961,0.672,0.994,0.984
2985,7.148,21,38982.016,2678.086,9132.924,332.139,332.139,851.969,288,699.282,2.963,0.998,15.647,1.035,45.682,0.904,0.951,0.977
2986,2.088,6,2977.862,1355.154,6806.372,24.23,24.23,513.683,288,560.62,1.201,0.998,6.483,1.019,15.013,0.149,0.965,0.985
2987,4.161,12,14723.696,1547.468,7795.22,113.79,113.79,643.905,288,609.147,1.657,0.998,8.891,1.022,17.31,0.343,0.961,0.989
2988,2.088,6,2873.098,1362.11,6862.472,25.499,25.499,499.522,288,559.223,1.198,0.998,6.374,1.019,10.655,0.133,0.959,1
2989,6.175,18,29794.024,2307.306,8830.25,246.295,246.295,761.545,288,665.511,2.502,0.998,13.059,1.031,33.4,0.661,0.972,1
2990,2.088,6,6082.441,1350.903,6735.02,23.516,23.516,587.138,288,565.954,1.302,0.998,7.041,1.019,21.215,0.252,0.999,0.987
2991,8.206,24,50993.837,3087.492,9305.392,438.097,438.097,915.931,288,729.301,3.588,0.998,18.45,1.042,59.817,1.184,0.982,0.989
2992,4.161,12,14722.537,1547.46,7770.617,113.769,113.769,651.779,288,610.317,1.659,0.998,8.983,1.022,17.697,0.35,0.963,0.979
2993,4.161,12,14720.123,1547.454,7743.673,113.748,113.748,636.119,288,604.925,1.662,0.998,8.929,1.023,17.012,0.337,0.982,0.987
2994,5.14,15,21634.374,1924.334,8494.769,175.277,175.277,707.822,288,638.962,2.079,0.998,11.037,1.026,25.115,0.497,0.965,0.991
2995,5.14,15,21631.403,1924.344,8488.637,175.257,175.257,693.068,288,634.121,2.081,0.998,10.97,1.027,24.346,0.482,0.979,0.999
2996,7.148,21,38998.708,2678.053,9121.293,332.309,332.309,825.538,288,688.894,2.98,0.998,15.644,1.036,44.121,0.874,0.981,0.983
2997,6.175,18,29790.487,2307.471,8819.093,246.265,246.265,778.103,288,669.267,2.505,0.998,13.241,1.03,34.469,0.682,0.969,0.986
2998,4.161,12,14722.697,1547.465,7782.855,113.784,113.784,637.657,288,606.925,1.658,0.998,8.872,1.023,17.039,0.337,0.969,0.992
2999,9.3,27,72767.91,3560.407,9752.516,644.906,644.906,1069.805,288,776.116,4.522,0.998,22.686,1.051,88.855,1.759,0.981,0.987
3000,4.161,12,14720.367,1547.453,7742.738,113.748,113.748,642.267,288,606.579,1.662,0.998,8.97,1.023,17.296,0.342,0.978,0.982
3001,6.175,18,29792.979,2307.358,8827.447,246.283,246.283,774.222,288,668.898,2.502,0.998,13.168,1.03,34.188,0.677,0.966,0.991
3002,6.175,18,29798.399,2307.223,8848.979,246.329,246.329,776.761,288,671.511,2.494,0.998,13.071,1.03,34.224,0.678,0.951,0.996
3003,5.14,15,21635.193,1924.334,8496.707,175.275,175.275,708.874,288,639.46,2.078,0.998,11.034,1.026,25.163,0.498,0.963,0.991
3004,1.138,3,4577.473,1335.162,6625.47,6.734,6.734,598.303,288,565.814,1.247,0.998,6.805,1.019,24.877,0.255,0.976,0.978
3005,6.175,18,29795.987,2307.265,8838.002,246.281,246.281,771.473,288,669.039,2.498,0.998,13.091,1.03,33.962,0.672,0.961,0.996
3006,2.088,6,2882.541,1370.67,6760.396,27.029,27.029,504.932,288,558.957,1.203,0.998,6.534,1.019,6.232,0.132,0.979,0.975
3007,4.161,12,14721.612,1547.459,7763.813,113.758,113.758,640.164,288,606.854,1.66,0.998,8.92,1.023,17.175,0.34,0.973,0.987
3008,4.161,12,14726.011,1547.478,7834.245,113.816,113.816,638.991,288,609.333,1.653,0.998,8.795,1.022,17.042,0.337,0.953,0.999
3009,9.3,27,72759.756,3560.371,9743.884,644.935,644.935,1080.613,288,778.173,4.534,0.998,22.98,1.05,90.103,1.784,0.98,0.976
3010,5.14,15,21636.838,1924.34,8502.416,175.288,175.288,709.078,288,640.101,2.076,0.998,11.006,1.026,25.149,0.498,0.959,0.993
3011,5.14,15,21637.633,1924.339,8504.499,175.299,175.299,713.113,288,641.461,2.076,0.998,11.022,1.026,25.355,0.502,0.955,0.991
3012,8.206,24,50993.17,3087.448,9297.479,438.082,438.082,909.53,288,725.675,3.6,0.998,18.538,1.042,59.509,1.178,0.995,0.987
3013,1.138,3,3346.542,1415.057,6712.135,11.322,11.322,529.705,288,559.36,1.221,0.998,6.532,1.019,0,0.162,0.977,0.994
3014,6.175,18,29795.974,2307.261,8837.939,246.321,246.321,769.887,288,668.579,2.498,0.998,13.079,1.03,33.866,0.671,0.962,0.997
3015,7.148,21,38980.069,2678.078,9135.434,332.138,332.138,843.35,288,697.431,2.96,0.998,15.534,1.035,45.041,0.892,0.953,0.984
3016,5.14,15,21628.512,1924.339,8479.325,175.276,175.276,690.878,288,632.547,2.084,0.998,11.004,1.027,24.267,0.48,0.987,0.997
3017,5.14,15,21630.444,1924.323,8480.739,175.29,175.29,708.87,288,637.82,2.083,0.998,11.119,1.026,25.233,0.499,0.974,0.985
3018,8.206,24,50994.872,3087.499,9308.067,438.072,438.072,936.259,288,735.167,3.587,0.998,18.632,1.041,61.41,1.216,0.969,0.978
3019,3.144,9,8374.201,1386.722,7022.918,60.298,60.298,585.253,288,578.194,1.393,0.998,7.579,1.02,12.312,0.244,0.992,0.977
3020,7.148,21,38999.575,2678.054,9121.411,332.408,332.408,818.864,288,687.006,2.98,0.998,15.589,1.036,43.657,0.864,0.985,0.987
3021,6.175,18,29761.666,2306.779,8804.529,245.92,245.92,776.097,288,667.463,2.509,0.998,13.296,1.03,34.407,0.681,0.979,0.983
3022,9.3,27,72775.567,3560.429,9778.953,645.109,645.109,1087.888,288,782.615,4.491,0.998,22.421,1.05,89.901,1.78,0.961,0.992
3023,7.148,21,38995.102,2678.062,9123.682,332.299,332.299,828.828,288,690.416,2.976,0.998,15.627,1.035,44.297,0.877,0.976,0.983
3024,1.138,3,3507.682,1418.175,6735.664,11.62,11.62,549.243,288,565.594,1.227,0.998,6.62,1.019,0,0.178,0.957,0.985
3025,7.148,21,38978.425,2678.081,9140.033,332.139,332.139,824.074,288,693.021,2.955,0.998,15.303,1.035,43.628,0.864,0.959,0.999
3026,2.088,6,3322.63,1350.034,6866.563,23.337,23.337,519.953,288,562.186,1.21,0.998,6.454,1.019,18.232,0.162,0.954,1
3027,2.088,6,4112.216,1344.162,6774.386,22.303,22.303,559.408,288,566.996,1.238,0.998,6.758,1.019,23.177,0.206,0.965,0.975
3028,5.14,15,21621.64,1924.314,8454.048,175.228,175.228,698.497,288,632.123,2.092,0.998,11.192,1.027,24.792,0.491,1,0.982
3029,4.161,12,14724.205,1547.466,7793.366,113.797,113.797,655.088,288,612.143,1.657,0.998,8.965,1.022,17.82,0.353,0.954,0.98
3030,8.206,24,50993.518,3087.467,9300.067,438.097,438.097,911.072,288,726.714,3.596,0.998,18.503,1.042,59.566,1.179,0.991,0.988
3031,3.144,9,8377.536,1386.748,7083.181,60.328,60.328,594.822,288,583.24,1.39,0.998,7.552,1.02,12.661,0.251,0.967,0.979
3032,2.088,6,6810.268,1363.134,6747.021,25.75,25.75,603.389,288,569.139,1.326,0.998,7.175,1.02,16.039,0.268,0.997,0.987
3033,2.088,6,5197.166,1345.223,6739.059,22.469,22.469,561.785,288,561.846,1.273,0.998,6.857,1.019,22.576,0.223,1,0.991
3034,7.148,21,38993.072,2678.078,9127.353,332.325,332.325,811.816,288,686.405,2.972,0.998,15.428,1.036,43.044,0.852,0.982,0.996
3035,1.138,3,902.978,1376.161,6747.233,9.064,9.064,464.043,288,550.386,1.122,0.998,5.968,1.019,0,0.083,0.953,0.998
3036,1.138,3,846.69,1368.246,6669.571,8.501,8.501,455.739,288,545.493,1.12,0.998,5.983,1.019,0,0.077,0.98,0.993
3037,8.206,24,50993.776,3087.489,9309.115,437.983,437.983,912.764,288,729.425,3.582,0.998,18.337,1.042,59.453,1.177,0.979,0.994
3038,3.144,9,8377.864,1386.75,7098.609,60.345,60.345,579.58,288,579.258,1.39,0.998,7.455,1.02,12.041,0.238,0.976,0.993
3039,4.161,12,14723.315,1547.462,7778.404,113.771,113.771,657.263,288,612.128,1.659,0.998,9.005,1.022,17.936,0.355,0.957,0.976
3040,1.138,3,5414.893,1318.589,6686.941,5.867,5.867,619.7,288,569.973,1.265,0.998,6.839,1.019,31.029,0.286,0.96,0.993
3041,5.14,15,21639.525,1924.346,8511.193,175.329,175.329,712.383,288,641.936,2.073,0.998,10.983,1.026,25.287,0.501,0.951,0.994
3042,4.161,12,14722.775,1547.466,7786.852,113.786,113.786,635.942,288,606.608,1.657,0.998,8.854,1.023,16.955,0.336,0.969,0.994
3043,8.206,24,50994.575,3087.522,9309.252,437.956,437.956,926.794,288,733.064,3.584,0.998,18.496,1.041,60.599,1.2,0.972,0.985
3044,8.206,24,50993.036,3087.461,9306.693,437.969,437.969,900.724,288,725.684,3.584,0.998,18.249,1.042,58.529,1.159,0.988,1
3045,3.144,9,8374.913,1386.734,7033.43,60.306,60.306,588.708,288,579.603,1.393,0.998,7.583,1.02,12.445,0.246,0.986,0.976
3046,5.14,15,21631.867,1924.329,8486.25,175.286,175.286,706.074,288,637.593,2.082,0.998,11.07,1.026,25.059,0.496,0.972,0.989
3047,1.138,3,7264.978,1362.797,6670.069,8.333,8.333,667.763,288,578.201,1.331,0.998,7.276,1.019,11.935,0.328,0.965,0.979
3048,3.144,9,8378.594,1386.754,7100.541,60.346,60.346,602.358,288,586.101,1.389,0.998,7.569,1.02,12.949,0.256,0.956,0.976
3049,2.088,6,2922.775,1369.181,6862.401,26.785,26.785,497.122,288,559.157,1.201,0.998,6.389,1.02,7.212,0.127,0.961,1
3050,9.3,27,72762.461,3560.377,9731.722,644.72,644.72,1053.315,288,770.592,4.546,0.998,22.852,1.052,87.773,1.738,0.998,0.985
3051,4.161,12,14717.71,1547.449,7716.012,113.736,113.736,623.098,288,600.199,1.664,0.998,8.892,1.023,16.44,0.325,1,0.993
3052,2.088,6,4810.403,1394.206,6801.414,31.489,31.489,545.538,288,565.216,1.272,0.998,6.842,1.02,0,0.181,0.982,0.988
3053,5.14,15,21632.502,1924.313,8483.984,175.258,175.258,722.476,288,641.993,2.082,0.998,11.193,1.026,25.945,0.514,0.963,0.977
3054,2.088,6,5712.692,1348,6747.638,22.979,22.979,574.722,288,564.075,1.289,0.998,6.942,1.019,21.995,0.238,0.998,0.992
3055,4.161,12,14720.522,1547.455,7746.415,113.761,113.761,639.197,288,605.884,1.661,0.998,8.944,1.023,17.151,0.34,0.979,0.985
3056,3.144,9,8374.342,1386.73,7030.721,60.301,60.301,573.871,288,575.1,1.393,0.998,7.509,1.021,11.847,0.235,1,0.987
3057,9.3,27,72759.321,3560.372,9727.781,644.822,644.822,1054.894,288,770.747,4.55,0.998,22.94,1.052,88.016,1.742,0.999,0.982
3058,5.14,15,21629.684,1924.327,8479.667,175.253,175.253,703.924,288,636.307,2.084,0.998,11.091,1.026,24.972,0.494,0.978,0.988
3059,7.148,21,38988.501,2678.074,9128.536,332.266,332.266,833.803,288,693.02,2.969,0.998,15.58,1.035,44.536,0.882,0.967,0.984
3060,8.206,24,50993.126,3087.451,9299.059,437.94,437.94,903.68,288,724.54,3.597,0.998,18.44,1.042,58.984,1.168,0.996,0.992
3061,9.3,27,72779.737,3560.436,9782.719,644.89,644.89,1083.599,288,781.942,4.485,0.998,22.288,1.05,89.382,1.769,0.961,0.997
3062,9.3,27,72772.481,3560.427,9779.316,644.924,644.924,1094.836,288,784.28,4.492,0.998,22.509,1.049,90.55,1.792,0.958,0.988
3063,4.161,12,14722.575,1547.461,7774.018,113.774,113.774,647.314,288,609.232,1.659,0.998,8.949,1.022,17.49,0.346,0.965,0.983
3064,4.161,12,14724.815,1547.473,7814.631,113.799,113.799,641.424,288,609.234,1.655,0.998,8.843,1.022,17.175,0.34,0.957,0.994
3065,9.3,27,72758.56,3560.36,9725.702,644.988,644.988,1054.729,288,770.58,4.553,0.998,22.974,1.052,88.048,1.743,1,0.981
3066,7.148,21,38988.765,2678.069,9127.463,332.176,332.176,841.004,288,694.813,2.97,0.998,15.656,1.035,45.051,0.892,0.964,0.979
3067,4.161,12,14718.241,1547.45,7722.505,113.724,113.724,624.395,288,600.821,1.663,0.998,8.889,1.023,16.494,0.327,0.997,0.993
3068,4.161,12,14724.471,1547.468,7799.406,113.797,113.797,652.422,288,611.657,1.657,0.998,8.938,1.022,17.693,0.35,0.954,0.983
3069,7.148,21,38980.066,2678.08,9137.001,332.167,332.167,831.749,288,694.493,2.959,0.998,15.415,1.035,44.217,0.875,0.958,0.992
3070,6.175,18,29794.884,2307.284,8833.498,246.287,246.287,764.652,288,666.69,2.5,0.998,13.064,1.03,33.572,0.665,0.968,0.999
3071,9.3,27,72766.881,3560.406,9760.373,644.886,644.886,1084.368,288,780.253,4.514,0.998,22.729,1.05,90.054,1.783,0.971,0.983
3072,1.138,3,350.834,1334.429,6701.07,6.68,6.68,455.773,288,545.834,1.096,0.998,5.846,1.019,13.568,0.085,0.96,0.997
3073,6.175,18,29793.715,2307.317,8829.215,246.252,246.252,762.595,288,665.723,2.502,0.998,13.072,1.031,33.47,0.663,0.972,0.999
3074,5.14,15,21622.634,1924.309,8455.914,175.192,175.192,703.896,288,633.844,2.092,0.998,11.219,1.026,25.077,0.496,0.995,0.979
3075,9.3,27,72766.309,3560.384,9740.255,645.034,645.034,1057.933,288,772.308,4.536,0.998,22.759,1.051,88.016,1.742,0.992,0.987
3076,9.3,27,72777.417,3560.42,9768.833,645.021,645.021,1070.914,288,777.669,4.501,0.998,22.394,1.05,88.541,1.753,0.973,0.996
3077,5.14,15,21625.122,1924.322,8465.764,175.253,175.253,697.745,288,633.12,2.088,0.998,11.123,1.027,24.7,0.489,0.992,0.987
3078,9.3,27,72773.174,3560.418,9780.468,644.919,644.919,1096.001,288,784.653,4.491,0.998,22.502,1.049,90.63,1.794,0.957,0.988
3079,5.14,15,21628.072,1924.34,8478.36,175.28,175.28,688.948,288,631.895,2.084,0.998,10.996,1.027,24.166,0.478,0.989,0.998
3080,4.161,12,14722.652,1547.464,7781.136,113.773,113.773,639.835,288,607.459,1.658,0.998,8.889,1.022,17.14,0.339,0.968,0.99
3081,1.138,3,1325.893,1361.138,6634.646,8.057,8.057,469.318,288,545.678,1.139,0.998,6.097,1.019,5.055,0.098,0.994,0.992
3082,6.175,18,29797.053,2307.255,8842.649,246.362,246.362,779.989,288,671.876,2.497,0.998,13.129,1.03,34.453,0.682,0.953,0.992
3083,8.206,24,50989.76,3087.303,9300.908,438.055,438.055,931.036,288,732.086,3.597,0.998,18.712,1.041,61.172,1.211,0.98,0.976
3084,5.14,15,21636.022,1924.339,8500.463,175.333,175.333,708.021,288,639.601,2.077,0.998,11.009,1.026,25.101,0.497,0.961,0.993
3085,5.14,15,21638.122,1924.349,8508.025,175.325,175.325,706.345,288,639.892,2.074,0.998,10.958,1.026,24.978,0.494,0.957,0.997
3086,1.138,3,3507.118,1316.678,6626.237,5.597,5.597,551.158,288,555.247,1.208,0.998,6.482,1.019,29.83,0.213,0.992,0.998
3087,2.088,6,5760.132,1392.894,6841.293,31.274,31.274,564.385,288,568.336,1.301,0.998,6.937,1.02,0,0.208,0.977,1
3088,3.144,9,8373.807,1386.72,7017.524,60.294,60.294,580.242,288,576.512,1.394,0.998,7.559,1.02,12.113,0.24,0.998,0.98
3089,4.161,12,14719.605,1547.449,7728.517,113.752,113.752,645.773,288,606.958,1.663,0.998,9.017,1.022,17.473,0.346,0.98,0.977
3090,1.138,3,2087.187,1397.088,6667.835,10.156,10.156,487.073,288,550.116,1.173,0.998,6.266,1.019,0.484,0.115,0.992,0.994
3091,7.148,21,38985.771,2678.074,9129.933,332.138,332.138,842.687,288,695.896,2.967,0.998,15.626,1.035,45.113,0.893,0.96,0.98
3092,2.088,6,4283.498,1391.456,6827.558,30.953,30.953,530.118,288,563.813,1.254,0.998,6.713,1.02,0,0.163,0.975,0.993
3093,9.3,27,72765.129,3560.386,9751.815,645.075,645.075,1079.461,288,778.432,4.524,0.998,22.823,1.05,89.8,1.778,0.977,0.981
3094,2.088,6,5395.544,1345.834,6732.073,22.591,22.591,569.394,288,563.029,1.28,0.998,6.912,1.019,22.709,0.231,1,0.988
3095,1.138,3,1159.109,1367.636,6647.162,8.471,8.471,469.352,288,547.311,1.133,0.998,6.085,1.019,2.397,0.093,0.984,0.987
3096,2.088,6,4528.182,1393.177,6809.853,31.282,31.282,538.043,288,564.606,1.263,0.998,6.786,1.02,0,0.172,0.979,0.989
3097,5.14,15,21631.22,1924.333,8485.164,175.272,175.272,701.157,288,636.082,2.082,0.998,11.043,1.026,24.799,0.491,0.976,0.992
3098,3.144,9,8378.486,1386.754,7113.325,60.346,60.346,577.324,288,579.105,1.389,0.998,7.426,1.02,11.942,0.236,0.974,0.997
3099,2.088,6,3537.386,1347.266,6798.429,22.834,22.834,536.608,288,563.973,1.219,0.998,6.608,1.019,20.697,0.179,0.963,0.982
3100,4.161,12,14719.609,1547.453,7737.034,113.751,113.751,634.783,288,604.287,1.662,0.998,8.931,1.023,16.958,0.336,0.985,0.987
3101,6.175,18,29761.547,2306.844,8793.223,246.018,246.018,775.359,288,666.246,2.513,0.998,13.353,1.03,34.426,0.682,0.987,0.98
3102,2.088,6,3009.581,1353.244,6762.177,23.884,23.884,519.247,288,560.559,1.203,0.998,6.55,1.019,16.567,0.155,0.973,0.975
3103,9.3,27,72773.937,3560.417,9759.543,644.884,644.884,1064.882,288,775.441,4.512,0.998,22.492,1.051,88.204,1.746,0.98,0.994
3104,4.161,12,14716.425,1547.438,7685.415,113.71,113.71,638.186,288,603.112,1.667,0.998,9.045,1.023,17.176,0.34,0.999,0.976
3105,1.138,3,590.485,1327.45,6688.588,6.271,6.271,464.537,288,545.796,1.106,0.998,5.889,1.019,18.199,0.1,0.966,0.999
3106,4.161,12,14718.515,1547.452,7728.571,113.744,113.744,623.142,288,600.716,1.663,0.998,8.871,1.023,16.428,0.325,0.996,0.995
3107,1.138,3,2980.502,1415.207,6721.266,11.38,11.38,526.443,288,560.434,1.208,0.998,6.489,1.019,0,0.155,0.967,0.989
3108,9.3,27,72776.614,3560.418,9762.811,645.143,645.143,1061.493,288,774.873,4.508,0.998,22.387,1.051,87.792,1.738,0.98,0.998
3109,8.206,24,50992.606,3087.416,9297.924,437.959,437.959,916.335,288,727.555,3.6,0.998,18.606,1.042,60.055,1.189,0.991,0.983
3110,5.14,15,21622.474,1924.311,8455.893,175.184,175.184,702.425,288,633.427,2.092,0.998,11.209,1.027,24.997,0.495,0.996,0.98
3111,6.175,18,29793.701,2307.326,8829.35,246.244,246.244,767.31,288,667.089,2.502,0.998,13.106,1.03,33.757,0.668,0.969,0.996
3112,5.14,15,21626.115,1924.309,8465.108,175.222,175.222,710.48,288,636.657,2.088,0.998,11.214,1.026,25.39,0.503,0.984,0.978
3113,6.175,18,29791.133,2307.438,8819.797,246.191,246.191,764.274,288,665.379,2.505,0.998,13.135,1.031,33.624,0.666,0.977,0.995
3114,7.148,21,38978.685,2678.082,9139.53,332.175,332.175,825.065,288,693.185,2.956,0.998,15.319,1.035,43.706,0.865,0.959,0.998
3115,6.175,18,29761.709,2306.836,8794.219,246.025,246.025,772.642,288,665.562,2.513,0.998,13.327,1.03,34.255,0.678,0.988,0.982
3116,9.3,27,72765.933,3560.391,9737.816,644.929,644.929,1053.876,288,771.129,4.538,0.998,22.751,1.052,87.683,1.736,0.995,0.988
3117,9.3,27,72767.058,3560.39,9744.71,645.048,645.048,1062.216,288,773.682,4.531,0.998,22.732,1.051,88.319,1.748,0.988,0.987
3118,5.14,15,21634.288,1924.342,8496.42,175.324,175.324,701.522,288,637.334,2.078,0.998,10.986,1.026,24.77,0.49,0.968,0.996
3119,3.144,9,8380.38,1386.764,7143.658,60.369,60.369,592.308,288,584.679,1.387,0.998,7.466,1.02,12.526,0.248,0.953,0.99
3120,3.144,9,8381.262,1386.769,7163.93,60.375,60.375,588.413,288,584.232,1.387,0.998,7.422,1.02,12.36,0.245,0.951,0.996
3121,4.161,12,14723.938,1547.467,7796.133,113.793,113.793,647.912,288,610.287,1.657,0.998,8.915,1.022,17.492,0.346,0.958,0.986
3122,8.206,24,50994.382,3087.52,9314.379,438.022,438.022,922.228,288,733.205,3.575,0.998,18.337,1.041,60.081,1.189,0.968,0.992
3123,8.206,24,50993.119,3087.461,9305.328,437.984,437.984,902.087,288,725.694,3.587,0.998,18.293,1.042,58.68,1.162,0.989,0.998
3124,6.175,18,29795.167,2307.282,8834.688,246.293,246.293,768.322,288,667.846,2.5,0.998,13.085,1.03,33.789,0.669,0.965,0.997
