,make,model,priceUSD,year,condition,mileage(kilometers),fuel_type,volume(cm3),color,transmission,drive_unit,segment
7683,audi,100,2300,1991,with mileage,400000.0,petrol,2300.0,burgundy,mechanics,front-wheel drive,E
7684,volkswagen,golf,951,1992,with mileage,397000.0,petrol,1300.0,white,mechanics,front-wheel drive,C
7685,nissan,almera-tino,5500,2005,with mileage,140000.0,diesel,2200.0,gray,mechanics,front-wheel drive,M
7686,nissan,primera,1500,1997,with mileage,222222.0,petrol,2000.0,blue,mechanics,front-wheel drive,D
7687,mercedes-benz,e-klass,3100,1984,with mileage,400000.0,petrol,1997.0,white,mechanics,rear drive,E
7688,opel,frontera,2300,1998,with mileage,300000.0,diesel,3100.0,black,mechanics,part-time four-wheel drive,D
7689,opel,astra,1200,1996,with mileage,400000.0,diesel,1700.0,yellow,mechanics,front-wheel drive,C
7690,land-rover,range-rover,44500,2013,with mileage,165000.0,diesel,4400.0,black,auto,all-wheel drive,J
7691,volkswagen,golf,500,1988,with mileage,311212.0,petrol,1800.0,blue,mechanics,front-wheel drive,C
7692,ford,sierra,590,1990,with mileage,100000.0,petrol,1600.0,white,mechanics,rear drive,
7693,volkswagen,passat,10300,2010,with mileage,90000.0,diesel,1600.0,black,mechanics,front-wheel drive,D
7694,pontiac,vibe,7680,2008,with mileage,168336.96399999998,petrol,2400.0,gray,auto,front-wheel drive,
7695,ford,s-max,9500,2006,with mileage,320000.0,diesel,2000.0,silver,mechanics,front-wheel drive,D
7696,opel,insignia,9300,2009,with mileage,250000.0,diesel,2000.0,gray,mechanics,front-wheel drive,D
7697,mazda,premacy,2500,2000,with mileage,280000.0,diesel,2000.0,green,mechanics,front-wheel drive,M
7698,volvo,s80,4500,2000,with mileage,357000.0,petrol,2400.0,blue,mechanics,front-wheel drive,E
7699,mitsubishi,galant,1200,1995,with mileage,300000.0,diesel,2000.0,silver,mechanics,front-wheel drive,D
7700,renault,laguna,2400,2000,with mileage,333000.0,petrol,1600.0,green,mechanics,front-wheel drive,D
7701,peugeot,3008,9200,2010,with mileage,270000.0,diesel,1600.0,silver,auto,front-wheel drive,C
7702,opel,astra,895,1992,with mileage,250000.0,petrol,1800.0,blue,mechanics,front-wheel drive,C
7703,audi,a6,8900,2005,with mileage,202000.0,petrol,2400.0,black,auto,front-wheel drive,E
7704,honda,civic,7000,2007,with mileage,90000.0,petrol,1400.0,black,auto,front-wheel drive,C
7705,kia,sorento,6500,2003,with mileage,320000.0,diesel,2500.0,silver,mechanics,all-wheel drive,J
7706,toyota,land-cruiser-prado,15900,2006,with mileage,263000.0,petrol,4000.0,black,auto,all-wheel drive,J
7707,mercedes-benz,m-klass,7900,2003,with mileage,380000.0,diesel,2700.0,black,auto,all-wheel drive,J
7708,volkswagen,golf,3700,2001,with mileage,292600.0,diesel,1900.0,blue,mechanics,rear drive,C
7709,bmw,5-seriya,19500,2012,with mileage,187.0,petrol,3000.0,blue,auto,part-time four-wheel drive,E
7710,volkswagen,sharan,3450,1996,with mileage,499000.0,petrol,2000.0,burgundy,mechanics,front-wheel drive,
7711,bmw,5-seriya,4500,1998,with mileage,320.0,petrol,2500.0,black,auto,rear drive,E
7712,peugeot,206,2650,2003,with mileage,280000.0,petrol,1600.0,blue,mechanics,front-wheel drive,B
7713,bmw,5-seriya,6900,2000,with mileage,350.0,diesel,2000.0,blue,mechanics,rear drive,E
7714,chrysler,intrepid,2450,2001,with mileage,220000.0,petrol,2700.0,brown,auto,front-wheel drive,
7715,citroen,xantia,800,1997,with mileage,278.0,petrol,1800.0,silver,mechanics,front-wheel drive,D
7716,seat,ibiza,1500,1994,with mileage,300000.0,petrol,1600.0,red,mechanics,front-wheel drive,B
7717,volkswagen,sharan,8600,2005,with mileage,328000.0,diesel,1900.0,black,mechanics,front-wheel drive,
7718,ravon,nexia-r3,7000,2016,with mileage,26000.0,petrol,1500.0,silver,mechanics,front-wheel drive,
7719,volkswagen,passat,6500,2007,with mileage,217000.0,diesel,1900.0,silver,mechanics,front-wheel drive,D
7720,fiat,punto,1600,1996,with mileage,183000.0,petrol,1200.0,blue,mechanics,front-wheel drive,B
7721,renault,trafic,18300,2015,with mileage,191300.0,diesel,1600.0,silver,mechanics,front-wheel drive,M
7722,opel,rekord,700,1980,with mileage,300000.0,petrol,2000.0,green,mechanics,,
7723,mercedes-benz,s-klass,5999,2000,with mileage,529512.0,diesel,3200.0,blue,auto,rear drive,S
7724,renault,megane,3000,2000,with mileage,325000.0,diesel,1900.0,gray,mechanics,front-wheel drive,C
7725,audi,100,3150,1993,with mileage,340000.0,petrol,2000.0,red,mechanics,front-wheel drive,E
7726,seat,ibiza,1000,1997,with mileage,270000.0,petrol,1000.0,blue,mechanics,front-wheel drive,B
7727,nissan,micra,350,1992,with mileage,340000.0,petrol,1111.0,silver,mechanics,front-wheel drive,C
7728,lada-vaz,largus,6999,2013,with mileage,53000.0,petrol,1600.0,white,mechanics,front-wheel drive,B
7729,skoda,octavia,16300,2016,with mileage,70000.0,petrol,1800.0,gray,auto,front-wheel drive,C
7730,skoda,kodiaq,37450,2019,with mileage,0.0,diesel,2000.0,gray,auto,all-wheel drive,J
7731,hyundai,ix35,14999,2015,with mileage,98000.0,petrol,2000.0,black,auto,front-wheel drive,J
7732,chevrolet,camaro,23900,2016,with mileage,38180.0,petrol,2000.0,red,auto,front-wheel drive,
7733,peugeot,607,4500,2001,with mileage,400000.0,diesel,2200.0,silver,mechanics,front-wheel drive,E
7734,audi,100,1150,1991,with mileage,3200000.0,petrol,2300.0,silver,mechanics,front-wheel drive,E
7735,peugeot,406,1650,1999,with mileage,60000.0,petrol,2000.0,burgundy,auto,rear drive,D
7736,volkswagen,passat,6850,2006,with mileage,255000.0,diesel,2000.0,black,auto,front-wheel drive,D
7737,opel,zafira,11700,2015,with mileage,141150.0,diesel,1600.0,black,mechanics,front-wheel drive,M
7738,opel,zafira,6350,2007,with mileage,229000.0,diesel,1900.0,blue,mechanics,front-wheel drive,M
7739,renault,clio,9850,2014,with mileage,31000.0,petrol,900.0,black,mechanics,front-wheel drive,B
7740,citroen,c4-picasso,6700,2010,with mileage,251000.0,diesel,1600.0,black,mechanics,front-wheel drive,C
7741,opel,zafira,3600,2000,with mileage,350000.0,diesel,2000.0,blue,mechanics,front-wheel drive,M
7742,mercedes-benz,e-klass,1188,1990,with mileage,441547.0,petrol,2300.0,silver,mechanics,rear drive,E
7743,volkswagen,touran,5800,2003,with mileage,295000.0,diesel,1900.0,blue,mechanics,front-wheel drive,M
7744,audi,80,2250,1991,with mileage,400000.0,diesel,1900.0,green,mechanics,front-wheel drive,D
7745,hyundai,creta,14043,2016,with mileage,85000.0,petrol,1600.0,black,mechanics,front-wheel drive,J
7746,renault,megane,5000,2003,with mileage,340484.0,petrol,1600.0,gray,auto,front-wheel drive,C
7747,nissan,leaf,15400,2014,with mileage,52125.0,electrocar,,red,auto,front-wheel drive,
7748,bmw,5-seriya,1078,1992,with mileage,566057.0,diesel,2497.0,silver,mechanics,rear drive,E
7749,nissan,x-trail,11950,2011,with mileage,177000.0,petrol,2000.0,black,mechanics,part-time four-wheel drive,J
7750,mercedes-benz,vito,10500,2001,with mileage,311645.0,diesel,2200.0,black,auto,front-wheel drive,M
7751,hyundai,atos,2000,1999,with mileage,330000.0,petrol,1000.0,blue,mechanics,front-wheel drive,A
7752,volvo,s80,10650,2007,with mileage,240254.0,diesel,2400.0,silver,auto,front-wheel drive,E
7753,volkswagen,polo-sedan,13500,2018,with mileage,25000.0,petrol,1600.0,other,auto,front-wheel drive,B
7754,volkswagen,touareg,8950,2005,with mileage,326000.0,diesel,2500.0,gray,auto,part-time four-wheel drive,J
7755,citroen,xantia,2900,2000,with mileage,415000.0,diesel,2000.0,silver,mechanics,front-wheel drive,D
7756,peugeot,406,3700,2002,with mileage,352000.0,diesel,2000.0,silver,mechanics,front-wheel drive,D
7757,ford,focus,2300,2001,with mileage,346198.0,diesel,1800.0,blue,mechanics,front-wheel drive,C
7758,volkswagen,passat,7599,2007,with mileage,250000.0,diesel,2000.0,black,mechanics,front-wheel drive,D
7759,bmw,x5,13800,2007,with mileage,151000.0,petrol,3000.0,gray,auto,all-wheel drive,J
7760,mazda,millenia,3800,2002,with mileage,152000.0,petrol,2300.0,black,auto,front-wheel drive,
7761,opel,frontera,3700,1999,with mileage,240000.0,diesel,2200.0,black,mechanics,part-time four-wheel drive,D
7762,peugeot,207,4099,2009,with mileage,121632.0,petrol,1400.0,silver,auto,front-wheel drive,B
7763,peugeot,308,5450,2009,with mileage,220000.0,diesel,1600.0,silver,mechanics,front-wheel drive,C
7764,opel,astra,1474,1997,with mileage,253.0,petrol,1400.0,other,mechanics,front-wheel drive,C
7765,suzuki,baleno,1200,1999,with mileage,300000.0,diesel,1900.0,green,mechanics,front-wheel drive,C
7766,audi,q7,61500,2017,with mileage,74700.0,diesel,3000.0,blue,auto,all-wheel drive,J
7767,mercedes-benz,e-klass,22000,2014,with mileage,164000.0,diesel,2200.0,black,auto,rear drive,E
7768,honda,shuttle,1650,1998,with mileage,370000.0,petrol,2300.0,brown,auto,front-wheel drive,
7769,volkswagen,jetta,400,1988,with mileage,17000.0,petrol,1600.0,red,mechanics,,C
7770,chrysler,stratus,1500,1995,with mileage,420000.0,petrol,1996.0,green,mechanics,front-wheel drive,
7771,renault,megane,2000,1999,with mileage,200000.0,diesel,1600.0,silver,mechanics,front-wheel drive,C
7772,bmw,x5,20000,2010,with mileage,340000.0,diesel,3500.0,black,auto,,J
7773,volkswagen,transporter,11900,2004,with mileage,430000.0,diesel,2500.0,yellow,mechanics,front-wheel drive,M
7774,toyota,avensis,9900,2009,with mileage,220000.0,petrol,1600.0,silver,mechanics,front-wheel drive,D
7775,kia,venga,6690,2010,with mileage,172000.0,diesel,1400.0,silver,mechanics,front-wheel drive,
7776,kia,rio,12400,2017,with mileage,45000.0,petrol,1600.0,brown,auto,front-wheel drive,B
7777,audi,a3,4200,2000,with mileage,437.0,diesel,1900.0,other,mechanics,front-wheel drive,C
7778,kia,sportage,14500,2011,with mileage,138000.0,diesel,1700.0,other,mechanics,front-wheel drive,J
7779,audi,a6,11900,2005,with mileage,359000.0,diesel,3000.0,black,auto,all-wheel drive,E
7780,peugeot,406,3500,2000,with mileage,293000.0,diesel,2000.0,other,mechanics,front-wheel drive,D
7781,mazda,323,1800,1999,with mileage,342789.42,petrol,1800.0,silver,auto,front-wheel drive,C
7782,kia,sorento,6200,2002,with mileage,330000.0,diesel,2500.0,gray,mechanics,part-time four-wheel drive,J
7783,subaru,forester,3500,2001,with mileage,240.0,petrol,2500.0,red,auto,all-wheel drive,J
7784,opel,astra,1901,1998,with mileage,400000.0,petrol,1600.0,green,mechanics,,C
7785,honda,fr-v,7950,2006,with mileage,283000.0,petrol,2000.0,black,mechanics,front-wheel drive,
7786,ford,fusion-usa,13500,2014,with mileage,40000.0,petrol,1500.0,white,auto,front-wheel drive,M
7787,volkswagen,golf,7500,2010,with mileage,172000.0,petrol,1400.0,silver,mechanics,front-wheel drive,C
7788,mercedes-benz,gle-coupe-amg,77884,2016,with mileage,86304.0,petrol,5461.0,red,auto,all-wheel drive,J
7789,volkswagen,golf,3200,1998,with mileage,300000.0,petrol,1800.0,red,mechanics,front-wheel drive,C
7790,renault,duster,9100,2014,with mileage,90000.0,petrol,2000.0,black,mechanics,part-time four-wheel drive,J
7791,peugeot,partner,4599,2007,with mileage,235300.0,diesel,1600.0,green,mechanics,front-wheel drive,M
7792,renault,scenic,3450,2001,with mileage,289000.0,diesel,1900.0,gray,mechanics,front-wheel drive,M
7793,opel,zafira,5700,2004,with mileage,328000.0,diesel,2000.0,black,mechanics,front-wheel drive,M
7794,volvo,s80,5000,2004,with mileage,250000.0,petrol,2900.0,black,auto,front-wheel drive,E
7795,volkswagen,tiguan,29900,2017,with mileage,40000.0,petrol,2000.0,black,auto,part-time four-wheel drive,J
7796,opel,omega,750,1992,with mileage,425365.0,diesel,2300.0,blue,mechanics,rear drive,E
7797,renault,laguna,1200,1996,with mileage,333000.0,petrol,2000.0,green,mechanics,front-wheel drive,D
7798,rover,400,1600,1998,with mileage,395000.0,diesel,2000.0,silver,mechanics,front-wheel drive,B
7799,volkswagen,golf,995,1988,with mileage,250000.0,petrol,1800.0,blue,mechanics,front-wheel drive,C
7800,opel,astra,12250,2016,with mileage,96300.0,diesel,1600.0,blue,mechanics,front-wheel drive,C
7801,skoda,fabia,3400,2004,with mileage,253000.0,petrol,1200.0,blue,mechanics,front-wheel drive,B
7802,mitsubishi,space-star,1800,1999,with mileage,320000.0,petrol,1300.0,blue,mechanics,front-wheel drive,M
7803,nissan,almera,1350,1999,with mileage,250000.0,petrol,1400.0,blue,mechanics,front-wheel drive,C
7804,hyundai,creta,12800,2016,with mileage,48000.0,petrol,1600.0,orange,mechanics,front-wheel drive,J
7805,toyota,corolla-verso,5650,2004,with mileage,245000.0,diesel,2000.0,gray,mechanics,front-wheel drive,M
7806,opel,zafira,5300,2006,with mileage,120000.0,petrol,1800.0,black,auto,front-wheel drive,M
7807,volkswagen,sharan,10300,2007,with mileage,236000.0,diesel,1900.0,other,mechanics,,
7808,ford,mondeo,3000,1993,with mileage,360000.0,diesel,1800.0,gray,mechanics,front-wheel drive,D
7809,ford,mondeo,3200,2003,with mileage,324550.0,diesel,2000.0,black,mechanics,front-wheel drive,D
7810,opel,omega,3450,1999,with mileage,300000.0,diesel,2500.0,silver,mechanics,rear drive,E
7811,renault,megane,10490,2016,with mileage,161000.0,diesel,1461.0,silver,mechanics,front-wheel drive,C
7812,mitsubishi,pajero-sport,15500,2013,with mileage,188000.0,diesel,2500.0,black,mechanics,part-time four-wheel drive,J
7813,citroen,xsara-picasso,3200,2003,with mileage,199000.0,petrol,2000.0,other,auto,front-wheel drive,C
7814,peugeot,807,6500,2003,with mileage,170000.0,diesel,2200.0,blue,auto,front-wheel drive,M
7815,renault,laguna,1790,1999,with mileage,232000.0,petrol,1600.0,green,mechanics,front-wheel drive,D
7816,toyota,yaris,8900,2016,with mileage,45000.0,petrol,1000.0,white,mechanics,front-wheel drive,B
7817,mercedes-benz,m-klass,13200,2009,with mileage,147000.0,petrol,3500.0,black,auto,all-wheel drive,J
7818,ford,fiesta,6900,2010,with mileage,11000.0,petrol,1400.0,green,auto,front-wheel drive,B
7819,volvo,s80,3450,1999,with mileage,340.0,diesel,2500.0,blue,mechanics,front-wheel drive,E
7820,fiat,marea,1500,1999,with mileage,340000.0,petrol,1600.0,brown,mechanics,front-wheel drive,C
7821,volkswagen,polo-sedan,7200,2013,with mileage,70000.0,petrol,1600.0,gray,mechanics,front-wheel drive,B
7822,mazda,cx-9,10600,2009,with mileage,236572.98,petrol,3700.0,burgundy,auto,front-wheel drive,J
7823,citroen,c3-picasso,6300,2009,with mileage,161000.0,petrol,1400.0,white,mechanics,front-wheel drive,M
7824,bmw,5-seriya,4400,2000,with mileage,540000.0,diesel,2500.0,gray,mechanics,rear drive,E
7825,peugeot,3008,8200,2010,with mileage,246000.0,diesel,1600.0,black,mechanics,front-wheel drive,C
7826,citroen,ds5,13750,2013,with mileage,62000.0,petrol,1600.0,brown,auto,front-wheel drive,
7827,mercedes-benz,e-klass,4064,1995,with mileage,370000.0,petrol,2199.0,other,auto,rear drive,E
7828,opel,zafira,4700,2002,with mileage,320000.0,diesel,2000.0,silver,mechanics,front-wheel drive,M
7829,opel,zafira,12600,2013,with mileage,160000.0,petrol,1400.0,brown,mechanics,front-wheel drive,M
7830,volvo,v50,9600,2010,with mileage,290000.0,diesel,1600.0,black,mechanics,front-wheel drive,C
7831,saab,9-3,2390,2001,with mileage,435000.0,diesel,2200.0,black,mechanics,front-wheel drive,D
7832,mercedes-benz,c-klass,5250,2001,with mileage,426249.0,diesel,2200.0,blue,auto,rear drive,D
7833,fiat,grande-punto,8000,2009,with mileage,150000.0,petrol,1400.0,white,mechanics,,B
7834,mercedes-benz,a-klass,8700,2011,with mileage,151500.0,petrol,1800.0,white,auto,front-wheel drive,A
7835,toyota,yaris,5900,2008,with mileage,107000.0,diesel,1400.0,silver,auto,front-wheel drive,B
7836,kia,clarus,700,2000,with mileage,180000.0,petrol,2000.0,silver,mechanics,front-wheel drive,D
7837,renault,trafic,8800,2009,with mileage,400000.0,diesel,2000.0,white,mechanics,front-wheel drive,M
7838,lada-vaz,2106,550,1989,with mileage,320000.0,petrol,1300.0,blue,mechanics,rear drive,B
7839,volvo,xc70,15750,2012,with mileage,219000.0,diesel,2400.0,red,auto,all-wheel drive,J
7840,volkswagen,polo,5500,2011,with mileage,114000.0,petrol,1400.0,yellow,auto,front-wheel drive,B
7841,porsche,cayenne,29000,2010,with mileage,119000.0,diesel,3000.0,black,auto,all-wheel drive,J
7842,renault,laguna,800,1996,with mileage,200000.0,petrol,1800.0,blue,mechanics,front-wheel drive,D
7843,skoda,octavia,11400,2015,with mileage,175000.0,diesel,1600.0,silver,mechanics,front-wheel drive,C
7844,land-rover,range-rover-sport,39900,2014,with mileage,92000.0,diesel,3000.0,purple,auto,all-wheel drive,J
7845,renault,megane,700,1996,with mileage,300000.0,petrol,1600.0,green,mechanics,front-wheel drive,C
7846,renault,grand-espace,5000,2004,with mileage,270000.0,diesel,2188.0,black,auto,front-wheel drive,
7847,mazda,626,2500,2001,with mileage,388000.0,petrol,2000.0,green,mechanics,front-wheel drive,C
7848,volvo,s60,6900,2006,with mileage,231000.0,petrol,2400.0,blue,mechanics,front-wheel drive,D
7849,opel,vectra,475,1992,with mileage,403000.0,petrol,2000.0,white,mechanics,front-wheel drive,D
7850,renault,megane,246,1996,with mileage,111111.0,petrol,1600.0,blue,mechanics,front-wheel drive,C
7851,audi,a3,5500,2001,with mileage,257600.0,petrol,1800.0,silver,auto,front-wheel drive,C
7852,peugeot,206,5500,2010,with mileage,250000.0,diesel,1400.0,blue,mechanics,front-wheel drive,B
7853,infiniti,fx,9800,2006,with mileage,202000.0,petrol,3500.0,other,auto,all-wheel drive,
7854,citroen,c5,8600,2008,with mileage,105000.0,diesel,2000.0,black,auto,front-wheel drive,D
7855,opel,astra,4700,2005,with mileage,170000.0,petrol,1600.0,silver,auto,front-wheel drive,C
7856,skoda,roomster,5800,2010,with mileage,177000.0,petrol,1200.0,silver,mechanics,front-wheel drive,
7857,ford,econoline,5637,1994,with mileage,186439.0,diesel,5398.0,other,auto,rear drive,
7858,peugeot,405,1000,1994,with mileage,270.0,petrol,1800.0,blue,mechanics,front-wheel drive,D
7859,citroen,c5,8950,2009,with mileage,253000.0,diesel,1600.0,black,mechanics,front-wheel drive,D
7860,volkswagen,polo-sedan,7999,2011,with mileage,170000.0,petrol,1600.0,silver,mechanics,front-wheel drive,B
7861,chrysler,sebring,3090,2004,with mileage,239791.66,petrol,2400.0,black,auto,front-wheel drive,
7862,volkswagen,sharan,16600,2015,with mileage,174000.0,diesel,2000.0,silver,auto,front-wheel drive,
7863,hyundai,santa-fe,24999,2014,with mileage,27500.0,petrol,2400.0,brown,mechanics,part-time four-wheel drive,J
7864,mitsubishi,outlander,6600,2003,with mileage,170000.0,petrol,2400.0,silver,mechanics,all-wheel drive,J
7865,renault,espace,6400,2003,with mileage,194900.0,diesel,1900.0,silver,mechanics,front-wheel drive,J
7866,renault,duster,11012,2015,with mileage,82000.0,petrol,2000.0,other,mechanics,part-time four-wheel drive,J
7867,volkswagen,transporter,10000,2002,with mileage,322000.0,diesel,2500.0,other,mechanics,front-wheel drive,M
7868,kia,forte,9500,2009,with mileage,139787.2724,petrol,2400.0,blue,auto,front-wheel drive,
7869,mercedes-benz,m-klass,7000,2002,with mileage,350000.0,diesel,4000.0,silver,auto,all-wheel drive,J
7870,bmw,3-seriya,2500,1994,with mileage,390000.0,petrol,1600.0,green,mechanics,rear drive,D
7871,gaz,3111,27500,2001,with mileage,160.0,petrol,2500.0,other,mechanics,rear drive,
7872,chevrolet,orlando,9850,2012,with mileage,180000.0,petrol,1800.0,other,mechanics,front-wheel drive,M
7873,citroen,c4-grand-picasso,14850,2016,with mileage,180000.0,diesel,2000.0,silver,mechanics,front-wheel drive,C
7874,jaguar,xf,25550,2013,with mileage,68000.0,petrol,3000.0,blue,auto,all-wheel drive,
7875,audi,a6,5200,1996,with mileage,480000.0,diesel,1900.0,black,mechanics,front-wheel drive,E
7876,citroen,c5,8000,2010,with mileage,205000.0,diesel,1600.0,silver,mechanics,front-wheel drive,D
7877,volkswagen,sharan,16800,2015,with mileage,143000.0,diesel,2000.0,white,auto,front-wheel drive,
7878,citroen,c8,7700,2009,with mileage,227000.0,diesel,2000.0,gray,mechanics,front-wheel drive,M
7879,renault,trafic,7558,2005,with mileage,400000.0,diesel,1900.0,silver,mechanics,rear drive,M
7880,bmw,x5,8800,2006,with mileage,438000.0,petrol,4400.0,black,auto,all-wheel drive,J
7881,chevrolet,aveo,6999,2012,with mileage,134000.0,petrol,1600.0,blue,auto,front-wheel drive,B
7882,volvo,s80,9000,2007,with mileage,190000.0,petrol,2500.0,gray,auto,front-wheel drive,E
7883,mercedes-benz,e-klass,4000,1999,with mileage,400.0,diesel,2200.0,blue,auto,rear drive,E
7884,citroen,xsara,2500,1999,with mileage,311.0,diesel,2000.0,green,mechanics,front-wheel drive,C
7885,opel,omega,250,1990,with mileage,300000.0,petrol,2000.0,white,mechanics,rear drive,E
7886,volkswagen,passat,920,1991,with mileage,360000.0,petrol,1800.0,white,mechanics,front-wheel drive,D
7887,nissan,x-trail,17250,2015,with mileage,129700.0,diesel,1600.0,black,auto,front-wheel drive,J
7888,citroen,xantia,1550,1999,with mileage,300000.0,diesel,1900.0,silver,mechanics,front-wheel drive,D
7889,bmw,x6,21999,2011,with mileage,68000.0,petrol,4400.0,black,auto,all-wheel drive,J
7890,volkswagen,passat,5145,2006,with mileage,362000.0,diesel,2000.0,brown,mechanics,front-wheel drive,D
7891,audi,a4,6500,2003,with mileage,238000.0,diesel,2500.0,gray,mechanics,front-wheel drive,D
7892,audi,a4,14000,2012,with mileage,235000.0,diesel,2000.0,black,auto,front-wheel drive,D
7893,ford,sierra,700,1988,with mileage,123456.0,petrol,2000.0,brown,mechanics,rear drive,
7894,audi,100,1250,1987,with mileage,339.0,petrol,2000.0,other,mechanics,front-wheel drive,E
7895,ford,mustang,27600,2017,with mileage,38000.0,petrol,2300.0,gray,auto,,S
7896,hyundai,matrix,2500,2001,with mileage,1.0,petrol,1600.0,silver,mechanics,front-wheel drive,M
7897,renault,grand-scenic,10700,2013,with mileage,168000.0,diesel,1500.0,gray,mechanics,,
7898,audi,a4,3000,2000,with mileage,175000.0,petrol,1800.0,black,mechanics,front-wheel drive,D
7899,audi,a8,11000,2006,with mileage,85000.0,petrol,4200.0,black,auto,all-wheel drive,F
7900,bmw,7-seriya,4500,1995,with mileage,377000.0,petrol,4000.0,green,auto,rear drive,F
7901,renault,logan,7500,2017,with mileage,80000.0,petrol,1600.0,white,mechanics,front-wheel drive,B
7902,ford,mondeo,7900,2008,with mileage,179000.0,diesel,1800.0,other,mechanics,front-wheel drive,D
7903,ford,fusion-usa,11890,2016,with mileage,73500.0,petrol,1500.0,white,auto,front-wheel drive,M
7904,ford,mondeo,7500,2010,with mileage,180000.0,petrol,2000.0,white,mechanics,front-wheel drive,D
7905,volkswagen,sharan,4950,1999,with mileage,351.0,diesel,1900.0,silver,mechanics,front-wheel drive,
7906,volkswagen,golf,6200,2007,with mileage,401000.0,diesel,2000.0,black,mechanics,front-wheel drive,C
7907,renault,scenic,5000,2007,with mileage,230000.0,diesel,1500.0,blue,mechanics,front-wheel drive,M
7908,opel,zafira,4600,2001,with mileage,315000.0,diesel,2000.0,white,mechanics,front-wheel drive,M
7909,ford,orion,800,1992,with mileage,350000.0,petrol,1600.0,gray,mechanics,front-wheel drive,C
7910,renault,sandero,9900,2017,with mileage,51000.0,petrol,1600.0,black,auto,front-wheel drive,B
7911,citroen,xsara,2450,1998,with mileage,2620000.0,petrol,1400.0,yellow,mechanics,front-wheel drive,C
7912,bmw,3-seriya,4800,1994,with mileage,300000.0,petrol,3000.0,red,mechanics,rear drive,D
7913,peugeot,407,6700,2004,with mileage,240000.0,petrol,2200.0,black,mechanics,front-wheel drive,D
7914,volkswagen,polo-sedan,8300,2015,with mileage,100000.0,petrol,1600.0,silver,mechanics,front-wheel drive,B
7915,mazda,millenia,3300,2001,with mileage,222088.92,petrol,2500.0,black,auto,front-wheel drive,
7916,renault,laguna,2150,1997,with mileage,320000.0,petrol,1800.0,green,mechanics,front-wheel drive,D
7917,audi,a8,9000,2003,with mileage,270000.0,petrol,4200.0,black,auto,all-wheel drive,F
7918,volkswagen,polo-sedan,9700,2016,with mileage,119000.0,petrol,1600.0,orange,mechanics,front-wheel drive,B
7919,audi,100,3700,1991,with mileage,300000.0,petrol,1989.0,gray,mechanics,front-wheel drive,E
7920,audi,a6,10300,2007,with mileage,290000.0,diesel,2000.0,black,mechanics,front-wheel drive,E
7921,peugeot,206,4000,2007,with mileage,210000.0,petrol,1400.0,black,mechanics,front-wheel drive,B
7922,mercedes-benz,s-klass,10499,2005,with mileage,247000.0,petrol,5500.0,black,auto,rear drive,S
7923,toyota,corolla,7300,2008,with mileage,193000.0,petrol,1400.0,silver,mechanics,front-wheel drive,C
7924,fiat,panda,3650,2009,with mileage,88000.0,petrol,1100.0,yellow,mechanics,front-wheel drive,
7925,peugeot,406,2000,1996,with mileage,400000.0,petrol,1800.0,white,mechanics,front-wheel drive,D
7926,bmw,7-seriya,74648,2017,with mileage,56840.0,petrol,4400.0,blue,auto,all-wheel drive,F
7927,ford,sierra,1500,1989,with mileage,111.0,petrol,2000.0,blue,mechanics,rear drive,
7928,volkswagen,touran,15300,2016,with mileage,165000.0,diesel,1600.0,silver,auto,front-wheel drive,M
7929,volkswagen,passat,636,1992,with mileage,332395.0,petrol,1800.0,white,mechanics,front-wheel drive,D
7930,opel,astra,700,1992,with mileage,345678.0,petrol,1700.0,red,mechanics,front-wheel drive,C
7931,opel,astra,3000,2000,with mileage,308200.0,diesel,2000.0,black,mechanics,front-wheel drive,C
7932,audi,a1,8700,2011,with mileage,98000.0,petrol,1400.0,blue,auto,front-wheel drive,B
7933,toyota,corolla-verso,7500,2007,with mileage,290000.0,diesel,2200.0,gray,mechanics,front-wheel drive,M
7934,nissan,qashqai,9200,2009,with mileage,199454.0,diesel,1500.0,black,mechanics,front-wheel drive,J
7935,audi,a4,4500,2000,with mileage,426942.0,diesel,1900.0,blue,mechanics,front-wheel drive,D
7936,renault,scenic,8650,2015,with mileage,180000.0,diesel,1500.0,white,mechanics,front-wheel drive,M
7937,opel,astra,5300,2007,with mileage,217000.0,petrol,1600.0,blue,mechanics,front-wheel drive,C
7938,fiat,marea,1600,1999,with mileage,270000.0,petrol,2000.0,burgundy,mechanics,front-wheel drive,C
7939,mitsubishi,pajero,3000,1989,with mileage,333333.0,diesel,2500.0,green,mechanics,part-time four-wheel drive,J
7940,citroen,evasion,3300,1997,with mileage,320000.0,diesel,2100.0,blue,mechanics,front-wheel drive,M
7941,ford,mondeo,900,1996,with mileage,25463.0,diesel,1800.0,red,mechanics,front-wheel drive,D
7942,toyota,camry,10600,2007,with mileage,175000.0,petrol,3500.0,black,auto,front-wheel drive,D
7943,toyota,corolla,3500,2001,with mileage,246.0,petrol,1400.0,blue,mechanics,front-wheel drive,C
7944,hyundai,ix55,13500,2009,with mileage,305000.0,diesel,3000.0,other,auto,part-time four-wheel drive,
7945,ford,explorer,19800,2014,with mileage,91000.0,petrol,2000.0,burgundy,auto,front-wheel drive,J
7946,toyota,rav4,3500,1998,with mileage,334000.0,petrol,2000.0,white,auto,front-wheel drive,J
7947,volvo,xc90,6700,2004,with mileage,175447.0,petrol,2900.0,silver,auto,all-wheel drive,J
